date,Crakehill,Skip Bridge,Westwick,Skelton,Arkengarthdale,East Cowton,Malham Tarn,Snaizeholme
28/08/1993,4.65,2.421,4.684,11.58,0,0,0.8,0
29/08/1993,4.53,2.352,4.619,11.32,0,0,8,5.6
30/08/1993,4.38,2.337,4.428,10.88,0,0,0,0
31/08/1993,4.28,2.301,4.313,10.58,0,0,0,0
01/09/1993,4.26,2.29,4.218,10.48,0,0,0.8,4
02/09/1993,4.12,2.258,4.198,10.34,0,0,0,0
03/09/1993,4.12,2.264,4.083,10.25,4.8,0,0,4.8
04/09/1993,4.04,2.238,4.035,10.04,0,0,0,0
05/09/1993,3.98,2.23,3.994,9.96,0,0,0,0
06/09/1993,3.96,2.244,3.937,9.954,0,0,0,0
07/09/1993,3.94,2.218,3.745,10.01,3.2,0,0,0
08/09/1993,4.84,4.537,12.751,11.97,116.4,26.4,95.6,132.8
09/09/1993,33.8,7.841,32.701,58.26,10.8,11.6,3.2,19.2
10/09/1993,20.8,6.692,39.423,55.08,18.4,5.6,40.8,118
11/09/1993,19.7,4.538,27.108,61.8,8,0,24,12.4
12/09/1993,12.2,3.333,15.395,34.91,5.6,0,7.2,11.2
13/09/1993,75.6,39.174,158.423,129,225.2,55.6,208.8,196.8
14/09/1993,180,70.723,153.231,317.4,103.2,74.4,30.4,22.4
15/09/1993,167,80.244,129.352,337.2,80,36.8,15.2,16.8
16/09/1993,105,51.684,54.93,258.9,12,15.2,0,0
17/09/1993,50,27.4,34.089,152.9,0,0,0,0
18/09/1993,28.1,17.744,24.372,93.07,0,0,0,0
19/09/1993,19.3,13.526,19.05,62.26,0,0,0.8,1.6
20/09/1993,16.9,10.173,18.333,49.15,12.8,10.4,58.4,42.4
21/09/1993,16.5,8.911,17.579,47.41,0.8,0,5.6,21.6
22/09/1993,13.8,5.53,15.168,38.26,0,0,8.8,0.8
23/09/1993,12.2,4.919,13.527,32,0,0,0.8,0
24/09/1993,11.1,4.474,11.672,31,0,0,3.2,0
25/09/1993,9.94,4.213,10.309,29.11,0,0,0.8,0.8
26/09/1993,9.19,3.866,9.28,25.99,0,0,0,0
27/09/1993,8.61,3.667,8.477,23.38,0,0,0,0
28/09/1993,8.23,3.612,7.9,21.42,0,0,0,0
29/09/1993,8.02,4.678,7.656,20.33,3.2,0.8,32.8,3.2
30/09/1993,8.05,4.071,7.85,20.44,23.2,10.4,15.2,21.6
01/10/1993,10.8,6.475,12.783,26.3,12.8,8.8,37.6,17.6
02/10/1993,35.6,18.363,55.999,82.21,69.6,38.4,30.4,25.6
03/10/1993,44.4,16.297,31.95,104.4,0,0,0,0
04/10/1993,23,14.144,25.032,68.06,6.4,0.8,16,4
05/10/1993,25.7,16.141,34.012,69.72,46.4,52.8,28.8,20.8
06/10/1993,71.4,25.919,56.15,133.4,12.8,18.8,12.8,12
07/10/1993,95.4,35.334,82.066,185,23.6,28.4,20.8,31.2
08/10/1993,68.1,19.787,43.905,150.4,1.6,0,0.8,0.8
09/10/1993,37.7,13.397,30.387,90.31,0,13.6,0,1.6
10/10/1993,30.2,11.544,24.317,71.14,0.8,0,0.8,2.4
11/10/1993,22.4,10.139,19.707,59.05,1.6,2.4,4,0
12/10/1993,33.9,18.111,27.472,68.72,66.4,20.8,20.8,20
13/10/1993,52,16.206,31.808,98.35,4.8,4.8,0,0
14/10/1993,31.4,12.005,22.305,74.58,0,5.6,0.8,0.8
15/10/1993,22.3,8.785,17.586,55.06,0,0,0,0.8
16/10/1993,18.1,5.774,14.755,42.92,0,0,0,0
17/10/1993,15.5,5.3,12.928,36.39,0,0,0,0.8
18/10/1993,13.9,4.84,11.755,32.49,0,0,0.8,0
19/10/1993,13,4.654,11.048,30.28,0,0,0.8,0.8
20/10/1993,12.8,4.666,10.593,29.3,4,12,11.2,12.8
21/10/1993,13.2,4.369,10.33,28.16,0,7.2,0.8,0.8
22/10/1993,12.6,4.093,10.061,27.79,0,0.8,0,0
23/10/1993,11.7,3.945,9.494,26.08,0,0,0,0
24/10/1993,11,3.797,9.074,24.67,0.8,1.6,0.8,0
25/10/1993,10.5,3.706,8.629,23.32,0,0,0,0
26/10/1993,9.99,3.609,8.128,22.19,0,0,0,0
27/10/1993,9.46,3.545,7.773,21.05,0,0,0,0
28/10/1993,9.09,3.494,7.548,20.32,0,0,0,0
29/10/1993,8.76,3.422,7.367,19.71,0,0,0,0
30/10/1993,8.53,3.34,7.156,19.23,0.8,0,0,0
31/10/1993,8.43,3.256,7.081,18.76,0,0,0,0
01/11/1993,8.35,3.313,6.97,18.53,0,0,0.8,3.2
02/11/1993,8.12,3.332,6.861,18.36,0,0,0,0
03/11/1993,8.15,3.276,6.804,18,2.4,2.4,5.6,4
04/11/1993,8.02,3.238,6.686,17.7,0,0,3.2,2.4
05/11/1993,8,3.196,6.685,17.8,0,0,0,0
06/11/1993,7.68,3.166,6.572,17.5,0,0,0.8,0.8
07/11/1993,7.58,3.167,6.554,17.15,0.8,0,1.6,0
08/11/1993,7.48,3.127,6.479,16.48,0,0,0,0.8
09/11/1993,7.91,3.656,6.427,17.7,0,7.2,42.4,47.2
10/11/1993,10.4,4.046,13.479,24.88,0,1.6,0.8,0
11/11/1993,10.1,3.594,10.297,26.69,0,0,5.6,0
12/11/1993,8.54,3.354,8.486,22.02,1.6,0,21.6,24.8
13/11/1993,10.1,5.04,14.956,26.34,23.2,36,56,23.2
14/11/1993,66.8,26.437,45.559,114.9,21.6,47.2,9.6,8
15/11/1993,46.2,9.502,20.641,97.19,0,0,0,0
16/11/1993,23.5,6.43,13.987,52.9,0,0,0,0
17/11/1993,16.7,5.404,11.263,39.39,0,0,0,0
18/11/1993,13.7,4.877,9.878,36,0,0,0,0
19/11/1993,11.9,4.551,8.905,31.05,0,0,0.8,0
20/11/1993,10.7,4.244,8.018,26,0,0,2.4,0
21/11/1993,10.5,4.321,7.736,24.69,0,8,0.8,0
22/11/1993,10.4,4.087,7.576,24.5,0,24.8,8.8,0
23/11/1993,10.1,4.015,7.184,24.41,0,0,1.6,0
24/11/1993,9.22,3.792,6.507,22.32,0,0,0,0
25/11/1993,10.1,3.687,6.68,21.49,2.4,0,8.8,10
26/11/1993,14.3,3.992,8.502,26.25,0,0,1.6,0
27/11/1993,13.7,4.059,9.13,30.47,0,0,0,0
28/11/1993,14.9,4.078,9.084,29.9,0,0,0,0
29/11/1993,14.2,4.019,8.629,33.5,15.2,15.2,0,0
30/11/1993,23,7.871,10.325,45.39,6.4,9.6,18.4,12.8
01/12/1993,28.2,7.263,25.003,58.28,1.6,4,20.8,26.4
02/12/1993,46,11.152,61.327,99.25,2.4,0,76,44
03/12/1993,34.7,8.759,44.482,99.11,6.4,0,13.6,43.2
04/12/1993,58.3,7.413,78.343,113.5,14.4,1.6,48,38.4
05/12/1993,29.9,6.589,33.954,95.15,5.6,0,11.2,4
06/12/1993,18.6,6.318,24.056,52.83,18.4,0,36.8,43.2
07/12/1993,39.5,6.478,48.004,80.19,3.2,0,25.6,12.8
08/12/1993,38.4,21.854,87.398,97.34,38.4,37.6,117.6,87.2
09/12/1993,107,42.234,96.197,239,4,0,58.4,14.4
10/12/1993,53.8,29.225,81.966,171.8,20,6.4,74.4,44.8
11/12/1993,40.8,22.121,53.709,149.2,4.8,0,40.8,15.2
12/12/1993,33,19.008,37.488,101,34.4,33.6,0,12.8
13/12/1993,64.8,44.661,62.642,154.3,24.8,20,25.2,40.8
14/12/1993,68,32.767,50.91,184.5,29.6,7.2,0,0
15/12/1993,64.7,43.352,93.292,178.5,21.6,4.8,84.8,55.2
16/12/1993,83.3,45.391,90.506,219.8,1.6,0,16.8,1.6
17/12/1993,48,25.324,48.84,150.2,0,0,19.2,2.4
18/12/1993,90.1,26.642,130.569,179.2,19.2,0,30.4,64.8
19/12/1993,162,61.426,183.842,293.9,28.8,4,70.4,84
20/12/1993,81.5,42.693,63.704,265.1,0,0,0,0
21/12/1993,30.1,21.927,37.827,137.4,1.6,0,1.6,0
22/12/1993,27.7,20.864,52.522,101.1,14.4,2.4,36,0
23/12/1993,34.8,22.898,47.111,111.4,8.8,8,41.6,26.4
24/12/1993,36.3,24.125,41.196,103.9,0.8,21.6,10.4,2.4
25/12/1993,30.2,18.232,29.125,88.64,0,2.4,4,1.6
26/12/1993,22.2,15.284,23.4,68.55,0,4,13.6,0
